Food	Cal	CalFat	Fat	SatFat	Chol	Sodium	Carbo	Protein	VitA	VitC	Calcium	Iron
Nonfat_French_Vanilla_Latte_(Medium) 16_fl_oz_cup         	240	0	0	0	5	140	49	12	15	0	40	2
Nonfat_French_Vanilla_Latte_(Small) 12_fl_oz_cup          	190	0	0	0	5	115	39	10	10	0	30	0
Nonfat_Hazelnut_Latte_(Large) 20_fl_oz_cup                	310	0	0	0	10	180	63	16	15	0	50	2
Nonfat_Hazelnut_Latte_(Medium) 16_fl_oz_cup               	250	0	0	0	5	135	51	12	15	0	40	0
Nonfat_Hazelnut_Latte_(Small) 12_fl_oz_cup                	200	0	0	0	5	110	40	10	10	0	30	0
Nonfat_Latte_(Large) 20_fl_oz_cup                         	170	0	0	0	10	180	25	16	15	0	50	2
Nonfat_Latte_(Medium) 16_fl_oz_cup                        	130	0	0	0	5	135	19	12	15	0	40	0
Nonfat_Latte_(Small) 12_fl_oz_cup                         	100	0	0	0	5	110	15	10	10	0	30	0
Nonfat_Latte_with_Sugar_Free_French_Vanilla_Syrup_(Large) 20_fl_oz_cup	220	0	0	0	10	240	38	16	15	0	50	2
Nonfat_Latte_with_Sugar_Free_French_Vanilla_Syrup_(Medium) 16_fl_oz_cup	170	0	0	0	5	180	30	12	15	0	40	0
Nonfat_Latte_with_Sugar_Free_French_Vanilla_Syrup_(Small) 12_fl_oz_cup	140	0	0	0	5	150	24	10	10	0	30	0
Oatmeal_Raisin_Cookie 1_cookie_(33_g)                     	150	50	6	2	10	135	22	2	2	0	2	6
POWERade_Mountain_Blast_(Child) 12_fl_oz_cup              	60	0	0	0	0	55	15	0	0	0	0	0
POWERade_Mountain_Blast_(Large) 30_fl_oz_cup              	160	0	0	0	0	150	42	0	0	2	0	0
POWERade_Mountain_Blast_(Medium) 21_fl_oz_cup             	120	0	0	0	0	105	30	0	0	2	0	0
POWERade_Mountain_Blast_(Small) 16_fl_oz_cup              	80	0	0	0	0	75	21	0	0	2	0	0
Peanuts_(for_Sundaes) 0.3_oz_(7_g)                        	45	30	3	0	0	0	2	2	0	0	0	0
Premium_Bacon_Ranch_Salad_(without_chicken) 7.9_oz_(223_g)	140	70	7	3	25	300	10	9	160	30	15	8
Premium_Bacon_Ranch_Salad_with_Crispy_Chicken 11.3_oz_(319_g)	390	190	22	6	70	870	24	26	160	35	15	10
Premium_Bacon_Ranch_Salad_with_Grilled_Chicken 10.8_oz_(306_g)	230	80	9	4	85	700	10	30	160	35	15	10
Premium_Crispy_Chicken_Classic_Sandwich 7.5_oz_(213_g)    	510	200	22	3	45	990	55	24	4	6	15	20
Premium_Crispy_Chicken_Club_Sandwich 8.8_oz_(249_g)       	670	300	33	9	85	1410	58	36	8	20	30	20
Premium_Crispy_Chicken_Ranch_BLT_Sandwich 8_oz_(227_g)    	590	240	27	6	70	1380	57	32	4	20	15	20
Premium_Grilled_Chicken_Classic_Sandwich 7_oz_(200_g)     	350	80	9	2	65	820	42	28	4	8	15	20
